MD Measured Depth (ft),TVD True Vertical Depth(ft),EWOFFSET,NSOFFSET,DIP,AZM,Back Pressure Pump (psi),Equivilant Circulating Pressure (mud psi),ROP (ft/hr),Time (days),ROP (m/sec),equivilant_length (m),K (ft/day),K (m/sec),kin viscosity (kg/(m*s),densityOil (kg/m3),dyn viscosity (m2/sec),Permeability_k (m2),Permeability_k (Millidarcy),Pressure (formation psi),Pressure (formation bar),Delta Pressure (psi),Dept Pressure (fresh water head ft),Flow Rate Incremental (ft3/day),Cumulative Flow Rate (ft3/day),Cumulative Flow Rate (bbl/day),"Over, Under, Normal Pressure Flag",Volume Change (ft3),Volume change (bbl),Cumulative change in pit volume (bbl),Rate of pit volume change bbl/hr,Cumulative Change of pit (bbl)
4912,4911.8,-23.88,4.66,0.94,120.08,,2455.9,20.833333333333332,9.54861111111111,0.0017638888888888888,0.10179567571969542,0.10179567571969542,3.591125226778144e-07,0.042,800,5.25e-05,2.4031406546304365e-15,2.4349822683043216,2210.31,152.395569756,-245.59000000000015,-106.34047000000007,-3.608333333333335,-39.69166666666664,-7.144499999999995,Normal,-3.132233796296297,-0.5578758969907408,-6.136634866898143,-0.6426730333333336,-6.42673033333333
5204,5203.77,-20.17,4.12,0.69,68.0,,2601.885,20.833333333333332,10.416666666666666,0.0017638888888888888,0.0960841851196344,0.0960841851196344,3.3896365306093246e-07,0.042,800,5.25e-05,2.2683066829267585e-15,2.2983617464755683,2341.6965000000005,161.45435360340002,-260.18849999999975,-112.66162049999988,-3.608333333333329,-43.29999999999997,-7.793999999999994,Normal,-3.132233796296292,-0.5578758969907399,-6.694510763888883,-0.6426730333333325,-7.069403366666663
5488,5487.71,-14.62,2.78,1.79,116.62,,2743.855,20.833333333333332,11.284722222222221,0.0017638888888888888,0.09111268634822176,0.09111268634822176,3.2142531017289337e-07,0.042,800,5.25e-05,2.15094206279373e-15,2.1794420451257754,2469.4695,170.2639952982,-274.38549999999987,-118.80892149999994,-3.6083333333333316,-46.9083333333333,-8.443499999999995,Normal,-3.132233796296294,-0.5578758969907404,-7.2523866608796235,-0.642673033333333,-7.7120763999999955
5772,5771.58,-6.25,1.03,1.78,86.92,,2885.79,20.833333333333332,12.152777777777777,0.0017638888888888888,0.08663139036451024,0.08663139036451024,3.056162937859111e-07,0.042,800,5.25e-05,2.0451499013119078e-15,2.072248137504318,2597.2110000000002,179.07146514360002,-288.5789999999997,-124.95470699999989,-3.6083333333333303,-50.51666666666663,-9.092999999999993,Normal,-3.1322337962962927,-0.55787589699074,-7.810262557870363,-0.6426730333333327,-8.354749433333328
6057,6056.44,2.63,0.97,1.8,93.74,,3028.22,20.833333333333332,13.020833333333332,0.0017638888888888888,0.08255674950961292,0.08255674950961292,2.912418663255789e-07,0.042,800,5.25e-05,1.948957847747816e-15,1.9747815392305004,2725.3979999999997,187.90965114479997,-302.8220000000001,-131.12192600000006,-3.608333333333335,-54.124999999999964,-9.742499999999993,Normal,-3.132233796296297,-0.5578758969907408,-8.368138454861104,-0.6426730333333336,-8.997422466666661
6341,6340.28,11.98,1.44,2.0,81.17,,3170.14,20.833333333333332,13.888888888888888,0.0017638888888888888,0.0788608704978329,0.0788608704978329,2.7820362647846606e-07,0.042,800,5.25e-05,1.861707411567593e-15,1.8863750347708883,2853.1259999999997,196.71619019759999,-317.0140000000001,-137.26706200000004,-3.6083333333333343,-57.7333333333333,-10.391999999999994,Normal,-3.1322337962962963,-0.5578758969907407,-8.926014351851844,-0.6426730333333335,-9.640095499999994
6625,6624.13,21.37,1.85,1.82,94.48,,3312.065,20.833333333333332,14.756944444444443,0.0017638888888888888,0.07548161041525453,0.07548161041525453,2.6628234785381463e-07,0.042,800,5.25e-05,1.7819315543948836e-15,1.8055421474906395,2980.8585000000003,205.52303951460001,-331.2064999999998,-143.4124144999999,-3.6083333333333307,-61.341666666666626,-11.041499999999992,Normal,-3.132233796296293,-0.5578758969907401,-9.483890248842584,-0.6426730333333328,-10.282768533333327
6720,6719.09,23.98,1.28,1.44,112.17,,3359.545,20.833333333333332,15.624999999999998,0.0017638888888888888,0.0744148389141982,0.0744148389141982,2.625190150584214e-07,0.042,800,5.25e-05,1.7567477541473293e-15,1.7800246618898048,3023.5905000000002,208.4693083578,-335.9544999999998,-145.46829849999992,-3.608333333333331,-64.94999999999996,-11.690999999999992,Normal,-3.1322337962962936,-0.5578758969907402,-10.041766145833325,-0.6426730333333329,-10.92544156666666
7002,7000.96,32.12,-0.87,2.0,99.48,,3500.48,20.833333333333332,16.493055555555554,0.0017638888888888888,0.0714187768534601,0.0714187768534601,2.5194957389970645e-07,0.042,800,5.25e-05,1.6860182414145746e-15,1.70835798311334,3150.4320000000002,217.21472536320002,-350.0479999999998,-151.5707839999999,-3.6083333333333307,-68.5583333333333,-12.340499999999993,Normal,-3.132233796296293,-0.5578758969907401,-10.599642042824065,-0.6426730333333328,-11.568114599999992
7096,7094.93,34.21,-1.54,0.76,130.66,,3547.465,20.833333333333332,17.36111111111111,0.0017638888888888888,0.07047285878789501,0.07047285878789501,2.486125851684074e-07,0.042,800,5.25e-05,1.6636874877431883e-15,1.6857313469558077,3192.7185000000004,220.13027805060003,-354.74649999999974,-153.60523449999988,-3.6083333333333303,-72.16666666666663,-12.989999999999993,Normal,-3.1322337962962994,-0.5578758969907412,-11.157517939814806,-0.6426730333333327,-12.210787633333325
7191,7189.93,34.54,-2.28,0.43,205.02,,3594.965,20.833333333333332,18.229166666666668,0.0017638888888888888,0.0695417062474878,0.0695417062474878,2.4532768592863754e-07,0.042,800,5.25e-05,1.6417053110967394e-15,1.6634579064687929,3235.4685000000004,223.07778795060003,-359.49649999999974,-155.66198449999987,-3.6083333333333303,-75.77499999999996,-13.639499999999993,Normal,-3.1322337962962994,-0.5578758969907412,-11.715393836805546,-0.6426730333333327,-12.853460666666658
7475,7473.92,32.87,-3.47,0.5,259.36,,3736.96,20.833333333333332,19.097222222222225,0.0017638888888888888,3.0,25.0,8.819444444444444e-05,0.042,800,5.25e-05,5.90187313370689e-13,598.0072952728584,3363.264,231.8889809664,-373.6959999999999,-161.81036799999995,-1348.419733333333,-1424.1947333333328,-256.3550519999999,Normal,-1170.5032407407425,-208.47599120185217,-220.1913850386577,-240.16434186453327,-253.01780253119992
7758,7756.91,30.23,-3.6,0.58,273.87,,3878.455,20.833333333333332,19.965277777777782,0.0017638888888888888,3.0,25.0,8.819444444444444e-05,0.042,800,5.25e-05,5.90187313370689e-13,598.0072952728584,3490.6095,240.66914756219998,-387.8454999999999,-167.93710149999995,-1399.4758458333329,-2823.6705791666654,-508.2607042499998,Normal,-1214.822782841437,-216.36965620632265,-436.56104124498034,-249.25784394968323,-502.27564648088315
8039,8037.89,26.97,-3.67,0.75,264.8,,4018.945,20.833333333333332,20.83333333333334,0.0017638888888888888,3.0,25.0,8.819444444444444e-05,0.042,800,5.25e-05,5.90187313370689e-13,598.0072952728584,3617.0505000000003,249.3869510538,-401.8944999999999,-174.02031849999995,-1450.169320833333,-4273.839899999998,-769.2911819999996,Normal,-1258.8275354456039,-224.2072546831456,-660.768295928126,-258.2867573949833,-760.5624038758665
8321,8319.86,22.75,-3.94,0.97,267.59,,4159.93,20.833333333333332,21.701388888888896,0.0017638888888888888,3.0,25.0,8.819444444444444e-05,0.042,800,5.25e-05,5.90187313370689e-13,598.0072952728584,3743.9370000000004,258.1354707012,-415.99299999999994,-180.12496899999996,-1501.041408333333,-5774.881308333332,-1039.4786354999997,Normal,-1302.9873336226874,-232.0724680168696,-892.8407639449956,-267.3474831554333,-1027.9098870312998
8602,8600.82,18.48,-3.54,0.8,284.65,,4300.41,20.833333333333332,22.569444444444454,0.0017638888888888888,0.058133991875193296,0.058133991875193296,2.050838046708208e-07,0.042,800,5.25e-05,1.3723977792133518e-15,1.3905820497879469,3870.369,266.8526536644,-430.0409999999997,-186.20775299999988,-3.6083333333333307,-5778.489641666665,-1040.1281354999996,Normal,-3.1322337962963,-0.5578758969907414,-893.3986398419863,-0.6426730333333329,-1028.552560064633
8882,8880.8,15.11,-1.96,0.75,306.39,,4440.4,20.833333333333332,23.43750000000001,0.0017638888888888888,0.056301234123051984,0.056301234123051984,1.9861824260076674e-07,0.042,800,5.25e-05,1.3291309642615284e-15,1.3467419495380113,3996.3599999999997,275.539430736,-444.03999999999996,-192.26932,-3.6083333333333334,-5782.097974999999,-1040.7776354999996,Normal,-3.132233796296302,-0.5578758969907417,-893.956515738977,-0.6426730333333333,-1029.1952330979664
9165,9163.77,11.53,0.3,0.97,299.21,,4581.885,20.833333333333332,24.305555555555568,0.0017638888888888888,0.054562696357503514,0.054562696357503514,1.924850677056374e-07,0.042,800,5.25e-05,1.288088446939827e-15,1.3051556188617968,4123.6965,284.3189768034,-458.1885000000002,-198.3956205000001,-3.6083333333333347,-5785.706308333332,-1041.4271354999998,Normal,-3.1322337962963034,-0.5578758969907419,-894.5143916359677,-0.6426730333333335,-1029.8379061312996
9444,9442.74,8.86,2.92,0.65,337.57,,4721.37,20.833333333333332,25.173611111111125,0.0017638888888888888,0.05295073252043369,0.05295073252043369,1.8679841750264106e-07,0.042,800,5.25e-05,1.2500340226897893e-15,1.2665969734904454,4249.233,292.9744171908,-472.1369999999997,-204.43532099999987,-3.608333333333331,-5789.314641666666,-1042.0766354999998,Normal,-3.1322337962963003,-0.5578758969907414,-895.0722675329584,-0.6426730333333329,-1030.480579164633
9724,9722.72,7.76,6.28,0.8,345.37,,4861.36,20.833333333333332,26.041666666666682,0.0017638888888888888,0.0514259384205243,0.0514259384205243,1.8141928276129406e-07,0.042,800,5.25e-05,1.2140374573590293e-15,1.2301234536690526,4375.224,301.6611942624,-486.1359999999995,-210.49688799999979,-3.6083333333333294,-5792.9229749999995,-1042.7261354999998,Normal,-3.1322337962962985,-0.5578758969907411,-895.6301434299492,-0.6426730333333326,-1031.1232521979662
10006,10004.69,7.27,10.05,0.76,0.19,,5002.345,20.833333333333332,26.90972222222224,0.0017638888888888888,0.049976560992894326,0.049976560992894326,1.7630620128048832e-07,0.042,800,5.25e-05,1.179821290556107e-15,1.195453922655991,4502.110500000001,310.4097139098,-500.23449999999957,-216.6015384999998,-3.6083333333333294,-5796.531308333333,-1043.3756354999998,Normal,-3.1322337962962985,-0.5578758969907411,-896.1880193269399,-0.6426730333333326,-1031.7659252312994
10288,10286.68,7.08,13.11,0.49,350.26,,5143.34,20.833333333333332,27.777777777777796,0.0017638888888888888,0.04860654749637395,0.04860654749637395,1.7147309811220812e-07,0.042,800,5.25e-05,1.1474787071643893e-15,1.1626828000343326,4629.006,319.1588540856,-514.3339999999998,-222.70662199999992,-3.6083333333333316,-5800.139641666667,-1044.0251355,Normal,-3.1322337962963007,-0.5578758969907415,-896.7458952239306,-0.642673033333333,-1032.4085982646327
